Date,TRI_Indexed
2016-02-24,100.0
2016-02-25,99.26
2016-02-26,99.88
2016-02-29,99.49
2016-03-01,102.74
2016-03-02,104.73
2016-03-03,106.12
2016-03-04,106.48
2016-03-08,106.55
2016-03-09,107.09
2016-03-10,106.54
2016-03-11,106.81
2016-03-14,107.29
2016-03-15,106.26
2016-03-16,106.56
2016-03-17,106.91
2016-03-18,108.06
2016-03-21,109.52
2016-03-22,109.73
2016-03-23,109.82
2016-03-28,108.3
2016-03-29,108.1
2016-03-30,110.06
2016-03-31,110.32
2016-04-01,110.21
2016-04-04,110.79
2016-04-05,108.72
2016-04-06,109.06
2016-04-07,108.23
2016-04-08,108.52
2016-04-11,109.96
2016-04-12,110.63
2016-04-13,112.43
2016-04-18,113.45
2016-04-20,113.59
2016-04-21,113.44
2016-04-22,113.33
2016-04-25,112.74
2016-04-26,114.04
2016-04-27,114.3
2016-04-28,112.57
2016-04-29,112.66
2016-05-02,112.52
2016-05-03,111.72
2016-05-04,110.88
2016-05-05,111.16
2016-05-06,111.24
2016-05-09,112.92
2016-05-10,113.16
2016-05-11,112.75
2016-05-12,113.57
2016-05-13,112.57
2016-05-16,113.01
2016-05-17,113.38
2016-05-18,113.24
2016-05-19,111.95
2016-05-20,111.38
2016-05-23,111.08
2016-05-24,111.14
2016-05-25,113.33
2016-05-26,115.01
2016-05-27,116.24
2016-05-30,116.78
2016-05-31,116.5
2016-06-01,116.69
2016-06-02,117.27
2016-06-03,117.22
2016-06-06,117.05
2016-06-07,117.94
2016-06-08,118.24
2016-06-09,117.57
2016-06-10,117.13
2016-06-13,116.33
2016-06-14,116.48
2016-06-15,117.7
2016-06-16,117.01
2016-06-17,117.4
2016-06-20,118.24
2016-06-21,118.15
2016-06-22,117.91
2016-06-23,118.6
2016-06-24,116.28
2016-06-27,116.76
2016-06-28,117.35
2016-06-29,118.59
2016-06-30,119.86
2016-07-01,120.67
2016-07-04,121.43
2016-07-05,121.07
2016-07-07,121.08
2016-07-08,120.9
2016-07-11,122.83
2016-07-12,123.53
2016-07-13,123.28
2016-07-14,123.95
2016-07-15,123.65
2016-07-18,123.11
2016-07-19,123.39
2016-07-20,124.13
2016-07-21,123.56
2016-07-22,124.26
2016-07-25,125.62
